Brand Name,Model_Name,Model_Year,Emi Per Month,Down Payment,KMs Travelled,Owners,Fule Type,RTO Number,Location,Engine Displacement,Transmission Type,Original Price,Actual Price
Hyundai,Grand i10,2014,"6,452",Zero,"47,927",2,Petrol,GJ-06,Vadodara,,Manual,"3,87,000","3,30,000"
Hyundai,i10,2012,"4,047",Zero,"91,518",2,CNG,GJ-05,Vadodara,,Manual,"2,34,000","2,07,000"
Tata,Tiago,2016,"6,452",Zero,"67,880",1,Petrol,GJ-06,Vadodara,,Manual,"3,39,000","3,30,000"
Maruti,Alto 800,2015,"4,281",Zero,"1,00,249",1,CNG,GJ-35,Vadodara,,Manual,"2,19,000","2,19,000"
Renault,Duster,2017,"11,241",Zero,"56,249",2,Diesel,GJ-06,Vadodara,85.0,Manual,"5,92,000","5,75,000"
Maruti,Wagon R 1.0,2012,"5,220",Zero,"1,12,434",1,CNG,GJ-06,Vadodara,,Manual,"2,67,000","2,67,000"
Hyundai,Verna,2015,"10,714",Zero,"95,537",1,Petrol,GJ-06,Vadodara,,Manual,"5,48,000","5,48,000"
Honda,City,2014,"9,873",Zero,"76,800",2,CNG,GJ-26,Vadodara,,Manual,"5,99,000","5,05,000"
Hyundai,Creta,2020,"31,463",Zero,"37,895",1,Petrol,GJ-23,Vadodara,,Automatic,"17,22,000","16,53,000"
Renault,Kwid,2018,"6,784",Zero,"29,362",1,Petrol,GJ-06,Vadodara,,Manual,"3,47,000","3,47,000"
Honda,City,2014,"9,658",Zero,"97,135",1,Diesel,GJ-06,Vadodara,1.5,Manual,"4,94,000","4,94,000"
Maruti,Alto 800,2012,"4,184",Zero,"58,638",2,Petrol,GJ-06,Vadodara,,Manual,"2,14,000","2,14,000"
Hyundai,Eon,2017,"5,814",Zero,"86,053",1,Petrol,GJ-27,Vadodara,,Manual,"2,97,400","2,97,400"
KIA,SELTOS,2021,"26,534",Zero,"39,379",2,Petrol,GJ-06,Vadodara,,Automatic,"14,55,000","13,94,000"
Hyundai,GRAND I10 NIOS,2022,"14,526",Zero,"6,818",1,CNG,GJ-06,Vadodara,,Manual,"7,43,000","7,43,000"
Maruti,Alto 800,2015,"4,418",Zero,"86,320",1,Petrol,GJ-06,Vadodara,,Manual,"2,26,000","2,26,000"
Hyundai,i10,2010,"4,399",Zero,"85,282",2,Petrol,GJ-06,Vadodara,,Manual,"2,25,000","2,25,000"
Maruti,Zen Estilo,2010,"3,675",Zero,"54,715",1,Petrol,GJ-06,Vadodara,,Manual,"1,88,000","1,88,000"
Maruti,Baleno,2017,"11,437",Zero,"61,465",1,Petrol,GJ-06,Vadodara,,Manual,"5,85,000","5,85,000"
Hyundai,Elite i20,2016,"11,007",Zero,"71,293",2,Petrol,GJ-01,Vadodara,,Manual,"5,76,000","5,63,000"
Maruti,Alto 800,2014,"4,692",Zero,"46,430",2,Petrol,GJ-06,Hyderabad,,Manual,"2,40,000","2,40,000"
Tata,TIGOR,2022,"14,878",Zero,"7,596",1,CNG,GJ-06,Hyderabad,,Manual,"7,61,000","7,61,000"
