Availability,Residence Type,Price(in Crores),Area(sq.ft),Price per sq.ft (₹),Construction Status,Locality,City
Residential Plot,Residential,0.623,2400,2594,New,Bidadi,Bangalore
4 BHK,Apartment,3.6,3165,11374,Ready to move,Hebbal,Bangalore
3 BHK,Apartment,1.199,1573,7625,Under Construction,Hebbal,Bangalore
Residential Plot,Residential,0.299,1200,2490,New,Anekal City,Bangalore
2 BHK,Apartment,0.549,1220,4500,Under Construction,Volagerekallahalli,Bangalore
3 BHK,Apartment,0.507,1206,4200,Under Construction,Chandapura,Bangalore
1 BHK,Apartment,0.473,690,6860,Ready to move,Kasavanahalli,Bangalore
3 BHK,Apartment,1.537,1654,9291,Under Construction,Krishnarajapura,Bangalore
4 BHK,Villa,2.45,3298,7428,Under Construction,Sarjapur,Bangalore
2 BHK,Apartment,1.008,1229,8202,Ready to move,Gunjur,Bangalore
3 BHK,Apartment,1.43,1606,8907,Under Construction,Krishnarajapura,Bangalore
3 BHK,Apartment,0.754,1475,5115,Under Construction,Whitefield Hope Farm Junction,Bangalore
3 BHK,Apartment,1.36,1635,8317,Under Construction,Jalahalli,Bangalore
Residential Plot,Residential,0.348,1656,2100,New,Jigani,Bangalore
4 BHK,Villa,4.062,4534,8959,Under Construction,Sarjapur,Bangalore
3 BHK,Apartment,0.641,1165,5500,Under Construction,Kengeri,Bangalore
2 BHK,Apartment,0.39,1182,3296,Ready to move,Sarjapur,Bangalore
3 BHK,Apartment,0.59,703,8391,Under Construction,Bagalur,Bangalore
Residential Plot,Residential,0.325,984,3300,New,Doddaballapur,Bangalore
2 BHK,Apartment,0.743,1228,6050,Ready to move,Whitefield Hope Farm Junction,Bangalore
2 BHK,Villa,0.395,800,4937,Under Construction,Anekal City,Bangalore
2 BHK,Apartment,0.883,1522,5799,Under Construction,Krishnarajapura,Bangalore
3 BHK,Apartment,1.08,1858,5813,Under Construction,Krishnarajapura,Bangalore
2 BHK,Apartment,0.85,1466,5799,Under Construction,Krishnarajapura,Bangalore
3 BHK,Apartment,0.947,1633,5799,Under Construction,Krishnarajapura,Bangalore
3 BHK,Apartment,0.661,1430,4625,Under Construction,Electronic City Phase 1,Bangalore
2 BHK,Apartment,0.544,1170,4649,Under Construction,Electronic City Phase 1,Bangalore
3 BHK,Apartment,0.72,1560,4615,Under Construction,Electronic City Phase 1,Bangalore
2 BHK,Apartment,0.512,1100,4658,Under Construction,Electronic City Phase 1,Bangalore
3 BHK,Apartment,0.713,1545,4616,Under Construction,Electronic City Phase 1,Bangalore
3 BHK,Apartment,0.686,1485,4621,Under Construction,Electronic City Phase 1,Bangalore
3 BHK,Apartment,0.673,1455,4623,Under Construction,Electronic City Phase 1,Bangalore
2 BHK,Apartment,0.585,1260,4640,Under Construction,Electronic City Phase 1,Bangalore
3 BHK,Apartment,0.738,1600,4613,Under Construction,Electronic City Phase 1,Bangalore
2 BHK,Apartment,0.558,1200,4646,Under Construction,Electronic City Phase 1,Bangalore
2 BHK,Apartment,0.663,1175,5643,Under Construction,Horamavu,Bangalore
2 BHK,Apartment,0.669,1186,5637,Under Construction,Horamavu,Bangalore
2 BHK,Apartment,0.656,1162,5649,Under Construction,Horamavu,Bangalore
3 BHK,Apartment,0.953,1750,5445,Under Construction,Horamavu,Bangalore
3 BHK,Apartment,0.823,1492,5515,Under Construction,Horamavu,Bangalore
3 BHK,Apartment,0.925,1695,5458,Under Construction,Horamavu,Bangalore
2 BHK,Apartment,0.693,1234,5614,Under Construction,Horamavu,Bangalore
2 BHK,Apartment,0.66,1169,5646,Under Construction,Horamavu,Bangalore
