Availability,Residence Type,Price(in Crores),Area(sq.ft),Price per sq.ft (₹),Construction Status,Locality,City
2 BHK,Apartment,0.9,1105,8144,Ready to move,Ulwe,Mumbai
2 BHK,Apartment,0.242,528,4581,Ready to move,Karjat,Mumbai
2 BHK,Apartment,1.813,579,31314,Under Construction,Santacruz East,Mumbai
1 BHK,Apartment,0.696,473,14725,Under Construction,Mira Road East,Mumbai
3 BHK,Villa,1.49,2187,6813,Under Construction,Boisar,Mumbai
2 BHK,Apartment,1.81,724,25000,Under Construction,Mulund West,Mumbai
1 BHK,Apartment,1.48,503,29423,Ready to move,Andheri West,Mumbai
2 BHK,Apartment,1.75,613,28548,Under Construction,Malad East,Mumbai
1 BHK,Apartment,1.308,510,25650,Under Construction,Saki Naka,Mumbai
2 BHK,Apartment,2.404,707,34000,Under Construction,Santacruz East,Mumbai
1 BHK,Apartment,0.28,451,6206,Under Construction,Badlapur East,Mumbai
1 BHK,Apartment,0.238,590,4034,Under Construction,Khopoli,Mumbai
3 BHK,Apartment,2.475,825,30000,Under Construction,Andheri West,Mumbai
2 BHK,Apartment,1.35,535,25233,Under Construction,Kurla,Mumbai
2 BHK,Apartment,1.42,555,25585,Under Construction,Thane West,Mumbai
3 BHK,Apartment,4.08,1236,33009,Under Construction,Andheri West,Mumbai
2 BHK,Apartment,1.031,672,15335,Ready to move,Thane West,Mumbai
2 BHK,Apartment,1.642,608,27000,Under Construction,Goregaon East,Mumbai
2 BHK,Apartment,1.7,702,24216,Under Construction,Malad West,Mumbai
2 BHK,Apartment,1.64,630,26032,Under Construction,Borivali West,Mumbai
1 BHK,Apartment,0.843,392,21500,Under Construction,Dahisar,Mumbai
Residential Plot,Residential,0.05,1000,500,Resale,kasaradavali thane west,Mumbai
2 BHK,Apartment,1.813,579,31314,Under Construction,Santacruz East,Mumbai
1 BHK,Apartment,0.696,473,14725,Under Construction,Mira Road East,Mumbai
3 BHK,Apartment,1.38,946,14587,Under Construction,Mira Road East,Mumbai
3 BHK,Apartment,1.38,946,14587,Under Construction,Mira Road East,Mumbai
2 BHK,Apartment,0.95,667,14241,Under Construction,Mira Road East,Mumbai
2 BHK,Apartment,0.95,667,14241,Under Construction,Mira Road East,Mumbai
2 BHK,Apartment,0.971,682,14243,Under Construction,Mira Road East,Mumbai
2 BHK,Apartment,0.971,682,14243,Under Construction,Mira Road East,Mumbai
3 BHK,Villa,1.49,2187,6813,Under Construction,Boisar,Mumbai
1 BHK,Apartment,1.33,477,27882,Ready to move,Andheri West,Mumbai
1 BHK,Apartment,0.905,307,29478,Ready to move,Andheri West,Mumbai
1 BHK,Apartment,1.17,405,28888,Under Construction,Malad East,Mumbai
1 BHK,Apartment,1.308,510,25650,Under Construction,Saki Naka,Mumbai
2 BHK,Apartment,1.672,652,25650,Under Construction,Saki Naka,Mumbai
2 BHK,Apartment,1.672,652,25650,Under Construction,Saki Naka,Mumbai
3 BHK,Apartment,2.237,872,25650,Under Construction,Saki Naka,Mumbai
3 BHK,Apartment,2.237,872,25650,Under Construction,Saki Naka,Mumbai
1 BHK,Apartment,1.377,537,25650,Under Construction,Saki Naka,Mumbai
1 BHK,Apartment,1.377,537,25650,Under Construction,Saki Naka,Mumbai
3 BHK,Apartment,2.37,924,25650,Under Construction,Saki Naka,Mumbai
3 BHK,Apartment,2.37,924,25650,Under Construction,Saki Naka,Mumbai
2 BHK,Apartment,1.688,658,25650,Under Construction,Saki Naka,Mumbai
2 BHK,Apartment,1.688,658,25650,Under Construction,Saki Naka,Mumbai
1 BHK,Apartment,1.18,460,25650,Under Construction,Saki Naka,Mumbai
1 BHK,Apartment,1.18,460,25650,Under Construction,Saki Naka,Mumbai
3 BHK,Apartment,2.155,840,25650,Under Construction,Saki Naka,Mumbai
3 BHK,Apartment,2.155,840,25650,Under Construction,Saki Naka,Mumbai
3 BHK,Apartment,2.38,928,25650,Under Construction,Saki Naka,Mumbai
3 BHK,Apartment,2.38,928,25650,Under Construction,Saki Naka,Mumbai
2 BHK,Apartment,1.67,651,25650,Under Construction,Saki Naka,Mumbai
2 BHK,Apartment,1.67,651,25650,Under Construction,Saki Naka,Mumbai
2 BHK,Apartment,2.312,680,34000,Under Construction,Santacruz East,Mumbai
2 BHK,Apartment,2.455,722,34000,Under Construction,Santacruz East,Mumbai
2 BHK,Apartment,2.455,722,34000,Under Construction,Santacruz East,Mumbai
3 BHK,Apartment,3.322,977,34000,Under Construction,Santacruz East,Mumbai
3 BHK,Apartment,3.322,977,34000,Under Construction,Santacruz East,Mumbai
2 BHK,Apartment,2.965,872,34000,Under Construction,Santacruz East,Mumbai
2 BHK,Apartment,2.965,872,34000,Under Construction,Santacruz East,Mumbai
2 BHK,Apartment,2.434,716,34000,Under Construction,Santacruz East,Mumbai
2 BHK,Apartment,2.434,716,34000,Under Construction,Santacruz East,Mumbai
2 BHK,Apartment,2.417,710,34047,Under Construction,Santacruz East,Mumbai
2 BHK,Apartment,2.417,710,34047,Under Construction,Santacruz East,Mumbai
2 BHK,Apartment,3.057,899,34000,Under Construction,Santacruz East,Mumbai
2 BHK,Apartment,3.057,899,34000,Under Construction,Santacruz East,Mumbai
3 BHK,Apartment,3.414,1004,34000,Under Construction,Santacruz East,Mumbai
3 BHK,Apartment,3.414,1004,34000,Under Construction,Santacruz East,Mumbai
1 BHK,Apartment,0.25,405,6170,Under Construction,Badlapur East,Mumbai
1 BHK,Apartment,0.26,421,6173,Under Construction,Badlapur East,Mumbai
2 BHK,Apartment,0.364,583,6236,Under Construction,Badlapur East,Mumbai
1 BHK,Apartment,0.282,455,6208,Under Construction,Badlapur East,Mumbai
1 BHK,Apartment,1.58,569,27768,Ready to move,Andheri West,Mumbai
2 BHK,Apartment,1.384,461,30022,Under Construction,Andheri West,Mumbai
1 BHK,Apartment,1.101,367,30013,Under Construction,Andheri West,Mumbai
3 BHK,Apartment,3.255,1085,30000,Under Construction,Andheri West,Mumbai
1 BHK,Apartment,0.48,247,19429,Under Construction,Bhandup West,Mumbai
1 BHK,Apartment,0.69,338,20411,Under Construction,Bhandup West,Mumbai
1 BHK,Apartment,0.5,273,18311,Under Construction,Bhandup West,Mumbai
1 BHK,Apartment,0.73,380,19207,Under Construction,Bhandup West,Mumbai
2 BHK,Apartment,0.91,481,18916,Under Construction,Bhandup West,Mumbai
2 BHK,Apartment,1.58,644,24534,Under Construction,Thane West,Mumbai
2 BHK,Apartment,1.24,515,24077,Under Construction,Thane West,Mumbai
2 BHK,Apartment,1.58,644,24534,Under Construction,Thane West,Mumbai
2 BHK,Apartment,1.65,635,25984,Under Construction,Thane West,Mumbai
2 BHK,Apartment,1.65,635,25984,Under Construction,Thane West,Mumbai
2 BHK,Apartment,0.43,1025,4195,Under Construction,Khopoli,Mumbai
1 BHK,Apartment,0.261,645,4050,Under Construction,Khopoli,Mumbai
2 BHK,Apartment,0.403,995,4049,Under Construction,Khopoli,Mumbai
2 BHK,Apartment,0.356,880,4050,Under Construction,Khopoli,Mumbai
3 BHK,Apartment,4.08,1236,33009,Under Construction,Andheri West,Mumbai
2 BHK,Apartment,1.474,546,27000,Under Construction,Goregaon East,Mumbai
2 BHK,Apartment,1.617,599,27000,Under Construction,Goregaon East,Mumbai
2 BHK,Apartment,1.571,582,27000,Under Construction,Goregaon East,Mumbai
2 BHK,Apartment,1.7,702,24216,Under Construction,Malad West,Mumbai
2 BHK,Apartment,1.46,639,22848,Under Construction,Malad West,Mumbai
2 BHK,Apartment,1.46,639,22848,Under Construction,Malad West,Mumbai
2 BHK,Apartment,1.7,702,24216,Under Construction,Malad West,Mumbai
2 BHK,Apartment,1.7,702,24216,Under Construction,Malad West,Mumbai
2 BHK,Apartment,1.53,669,22869,Under Construction,Malad West,Mumbai
2 BHK,Apartment,1.53,669,22869,Under Construction,Malad West,Mumbai
2 BHK,Apartment,1.58,692,22832,Under Construction,Malad West,Mumbai
2 BHK,Apartment,1.58,692,22832,Under Construction,Malad West,Mumbai
2 BHK,Apartment,1.54,642,23987,Under Construction,Malad West,Mumbai
2 BHK,Apartment,1.54,642,23987,Under Construction,Malad West,Mumbai
2 BHK,Apartment,1.29,591,21827,Under Construction,Malad West,Mumbai
2 BHK,Apartment,1.29,591,21827,Under Construction,Malad West,Mumbai
2 BHK,Apartment,1.39,640,21718,Under Construction,Malad West,Mumbai
2 BHK,Apartment,1.39,640,21718,Under Construction,Malad West,Mumbai
2 BHK,Apartment,1.38,634,21766,Under Construction,Malad West,Mumbai
2 BHK,Apartment,1.38,634,21766,Under Construction,Malad West,Mumbai
2 BHK,Apartment,1.59,698,22779,Under Construction,Malad West,Mumbai
2 BHK,Apartment,1.59,698,22779,Under Construction,Malad West,Mumbai
2 BHK,Apartment,1.34,615,21788,Under Construction,Malad West,Mumbai
2 BHK,Apartment,1.34,615,21788,Under Construction,Malad West,Mumbai
1 BHK,Apartment,0.924,430,21500,Under Construction,Dahisar,Mumbai
1 BHK,Apartment,0.785,365,21500,Under Construction,Dahisar,Mumbai
2 BHK,Apartment,0.292,629,4640,Under Construction,Boisar,Mumbai
1 BHK,Apartment,0.416,520,8000,Under Construction,Vasai,Mumbai
1 BHK,Apartment,0.228,618,3686,Under Construction,Boisar,Mumbai
1 RK ,Apartment,0.098,211,4640,Under Construction,Boisar,Mumbai
2 BHK,Apartment,0.514,643,8000,Under Construction,Vasai,Mumbai
1 BHK,Apartment,0.416,520,8000,Under Construction,Vasai,Mumbai
2 BHK,Apartment,0.256,551,4640,Under Construction,Boisar,Mumbai
1 BHK,Apartment,0.169,365,4640,Under Construction,Boisar,Mumbai
1 BHK,Apartment,0.334,417,8000,Under Construction,Vasai,Mumbai
1 BHK,Apartment,0.368,460,8000,Under Construction,Vasai,Mumbai
1 RK ,Apartment,0.105,227,4640,Under Construction,Boisar,Mumbai
2 BHK,Apartment,0.512,640,8000,Under Construction,Vasai,Mumbai
2 BHK,Apartment,0.301,747,4031,Under Construction,Boisar,Mumbai
1 BHK,Apartment,0.37,463,8000,Under Construction,Vasai,Mumbai
2 BHK,Apartment,3.85,770,50000,Under Construction,Santacruz West,Mumbai
2 BHK,Apartment,3.85,770,50000,Under Construction,Santacruz West,Mumbai
3 BHK,Apartment,5.725,1145,50000,Under Construction,Santacruz West,Mumbai
3 BHK,Apartment,5.725,1145,50000,Under Construction,Santacruz West,Mumbai
3 BHK,Apartment,5.65,1130,50000,Under Construction,Santacruz West,Mumbai
3 BHK,Apartment,5.65,1130,50000,Under Construction,Santacruz West,Mumbai
2 BHK,Apartment,3.8,760,50000,Under Construction,Santacruz West,Mumbai
2 BHK,Apartment,3.8,760,50000,Under Construction,Santacruz West,Mumbai
3 BHK,Apartment,5.5,1100,50000,Under Construction,Santacruz West,Mumbai
3 BHK,Apartment,5.5,1100,50000,Under Construction,Santacruz West,Mumbai
2 BHK,Apartment,4.075,815,50000,Under Construction,Santacruz West,Mumbai
2 BHK,Apartment,4.075,815,50000,Under Construction,Santacruz West,Mumbai
2 BHK,Apartment,3.9,780,50000,Under Construction,Santacruz West,Mumbai
2 BHK,Apartment,3.9,780,50000,Under Construction,Santacruz West,Mumbai
1 BHK,Apartment,0.41,821,5000,Ready to move,Panvel,Mumbai
1 BHK,Apartment,0.317,634,5000,Ready to move,Panvel,Mumbai
2 BHK,Apartment,0.449,898,5000,Ready to move,Panvel,Mumbai
1 RK ,Apartment,0.244,487,5000,Ready to move,Panvel,Mumbai
1 BHK,Apartment,0.38,375,10133,Under Construction,Vasai,Mumbai
1 BHK,Apartment,0.435,426,10211,Under Construction,Vasai,Mumbai
1 BHK,Apartment,0.435,426,10211,Under Construction,Vasai,Mumbai
2 BHK,Apartment,0.6,543,11050,Under Construction,Vasai,Mumbai
2 BHK,Apartment,0.6,543,11050,Under Construction,Vasai,Mumbai
1 BHK,Apartment,0.38,375,10133,Under Construction,Vasai,Mumbai
1 BHK,Apartment,0.38,375,10133,Under Construction,Vasai,Mumbai
1 BHK,Apartment,0.65,400,16250,Under Construction,Vikroli East,Mumbai
2 BHK,Apartment,1.25,581,21514,Under Construction,Ghatkopar East,Mumbai
2 BHK,Apartment,1.2,956,12552,Ready to move,Mira Road East,Mumbai
2 BHK,Apartment,1.11,889,12485,Ready to move,Mira Road East,Mumbai
2 BHK,Apartment,1.05,785,13375,Ready to move,Mira Road East,Mumbai
1 BHK,Apartment,0.32,400,8000,Under Construction,Kalyan East,Mumbai
1 BHK,Villa,0.185,410,4512,Ready to move,Neral,Mumbai
1 BHK,Apartment,0.32,175,18280,Under Construction,Bhandup West,Mumbai
1 BHK,Apartment,0.22,249,8835,Under Construction,Badlapur West,Mumbai
1 BHK,Apartment,0.22,249,8835,Under Construction,Badlapur West,Mumbai
2 BHK,Apartment,0.36,520,6923,Under Construction,Badlapur West,Mumbai
2 BHK,Apartment,0.36,520,6923,Under Construction,Badlapur West,Mumbai
1 BHK,Apartment,0.25,368,6793,Under Construction,Badlapur West,Mumbai
1 BHK,Apartment,0.25,368,6793,Under Construction,Badlapur West,Mumbai
2 BHK,Apartment,0.323,485,6670,Under Construction,Badlapur West,Mumbai
2 BHK,Apartment,0.323,485,6670,Under Construction,Badlapur West,Mumbai
3 BHK,Apartment,4.4,1100,40000,Under Construction,Andheri West,Mumbai
2 BHK,Apartment,3.12,780,40000,Under Construction,Andheri West,Mumbai
1 BHK,Apartment,0.45,685,6569,Ready to move,Kalyan West,Mumbai
2 BHK,Apartment,1.916,602,31834,Under Construction,Santacruz East,Mumbai
3 BHK,Apartment,0.789,788,10019,Ready to move,Virar,Mumbai
1 BHK,Apartment,0.36,396,9088,Ready to move,Virar,Mumbai
2 BHK,Apartment,0.489,483,10134,Ready to move,Virar,Mumbai
1 BHK,Apartment,0.35,352,9940,Ready to move,Virar,Mumbai
2 BHK,Apartment,0.509,499,10210,Ready to move,Virar,Mumbai
1 BHK,Apartment,0.367,398,9218,Ready to move,Virar,Mumbai
2 BHK,Apartment,0.339,930,3645,Under Construction,Kalyan West,Mumbai
2 BHK,Apartment,1.23,629,19554,Under Construction,Thane West,Mumbai
1 BHK,Apartment,0.82,429,19114,Under Construction,Thane West,Mumbai
1 BHK,Apartment,0.82,429,19114,Under Construction,Thane West,Mumbai
2 BHK,Apartment,1.24,636,19496,Under Construction,Thane West,Mumbai
2 BHK,Apartment,1.24,636,19496,Under Construction,Thane West,Mumbai
2 BHK,Apartment,1.23,629,19554,Under Construction,Thane West,Mumbai
2 BHK,Apartment,1.23,629,19554,Under Construction,Thane West,Mumbai
1 BHK,Apartment,0.36,425,8470,Under Construction,Dombivali,Mumbai
1 BHK,Apartment,0.36,425,8470,Under Construction,Dombivali,Mumbai
2 BHK,Apartment,0.56,651,8602,Under Construction,Dombivali,Mumbai
2 BHK,Apartment,0.56,651,8602,Under Construction,Dombivali,Mumbai
1 BHK,Apartment,0.36,425,8470,Under Construction,Dombivali,Mumbai
1 BHK,Apartment,0.36,425,8470,Under Construction,Dombivali,Mumbai
2 BHK,Apartment,0.56,651,8602,Under Construction,Dombivali,Mumbai
2 BHK,Apartment,0.56,651,8602,Under Construction,Dombivali,Mumbai
1 BHK,Apartment,0.355,780,4551,Ready to move,Kalyan West,Mumbai
1 BHK,Apartment,0.5,330,15148,Ready to move,Thane West,Mumbai
1 BHK,Apartment,0.52,343,15148,Ready to move,Thane West,Mumbai
2 BHK,Floor,0.22,450,4888,Ready to move,Sector 7 Dwarka,Delhi
1 BHK,Floor,0.23,500,4600,Under Construction,Sector 1 Rohini,Delhi
4 BHK,Independent House,6.5,1440,45138,Ready to move,Sarai Rohilla,Delhi
4 BHK,Apartment,10.0,3265,30627,Ready to move,Karampura,Delhi
3 BHK,Floor,2.5,1800,13888,Ready to move,Naraina,Delhi
2 BHK,Apartment,0.48,720,6666,Ready to move,Jamia Nagar,Delhi
3 BHK,Floor,1.3,1100,11818,Ready to move,Jhil Mil Colony,Delhi
2 BHK,Apartment,0.62,1800,3444,Ready to move,Sector 1 Dwarka,Delhi
3 BHK,Floor,6.25,1900,32894,Ready to move,West End,Delhi
2 BHK,Apartment,0.9,972,9259,Ready to move,mayur vihar phase 1,Delhi
2 BHK,Floor,0.34,440,7727,Ready to move,Rohini sector 16,Delhi
3 BHK,Floor,0.35,900,3888,Ready to move,Dwarka Mor,Delhi
3 BHK,Floor,1.85,1350,13703,Ready to move,Janakpuri,Delhi
2 BHK,Apartment,0.85,732,11612,Ready to move,Sector 18 Rohini,Delhi
3 BHK,Floor,0.48,864,5555,Ready to move,Rohini sector 24,Delhi
2 BHK,Floor,0.31,540,5740,Ready to move,Dwarka Mor,Delhi
4 BHK,Apartment,6.5,4950,13131,Ready to move,Delhi,Delhi
2 BHK,Apartment,0.35,802,4364,Ready to move,Palam,Delhi
4 BHK,Floor,1.25,1350,9259,Ready to move,Ashok Vihar,Delhi
3 BHK,Floor,0.44,900,4888,Ready to move,Mahavir Enclave,Delhi
2 BHK,Floor,0.38,500,7600,Ready to move,Sudarshan Park,Delhi
2 BHK,Apartment,1.5,1100,13636,Ready to move,Alaknanda,Delhi
2 BHK,Apartment,0.48,1025,4682,Ready to move,Mahavir Enclave,Delhi
4 BHK,Floor,6.0,4800,12500,Ready to move,Rajouri Garden,Delhi
3 BHK,Apartment,1.6,1350,11851,Ready to move,Okhla,Delhi
3 BHK,Apartment,0.35,803,4358,Ready to move,Dwarka Mor,Delhi
3 BHK,Apartment,1.3,1450,8965,Ready to move,Paschim Vihar,Delhi
4 BHK,Floor,2.3,2045,11246,Ready to move,Krishna Nagar,Delhi
2 BHK,Floor,0.19,580,3275,Ready to move,Uttam Nagar,Delhi
3 BHK,Apartment,0.75,1337,5609,Ready to move,Chattarpur,Delhi
3 BHK,Floor,0.505,800,6312,Ready to move,Uttam Nagar,Delhi
5 BHK,Independent House,12.749,8640,14756,Ready to move,Punjabi Bagh,Delhi
2 BHK,Apartment,0.88,1100,8000,Ready to move,Sector 17 Dwarka,Delhi
3 BHK,Floor,1.75,1365,12820,Ready to move,laxmi nagar,Delhi
3 BHK,Floor,0.51,1000,5100,Ready to move,Manglapuri,Delhi
2 BHK,Floor,0.6,810,7407,Ready to move,Krishna Nagar,Delhi
2 BHK,Floor,0.38,750,5066,Ready to move,Khirki Extension,Delhi
2 BHK,Apartment,0.38,925,4108,Ready to move,Sector 10 Dwarka,Delhi
2 BHK,Floor,0.35,500,7000,Ready to move,laxmi nagar,Delhi
5 BHK,Floor,7.25,3600,20138,Ready to move,Karol Bagh,Delhi
2 BHK,Floor,0.15,459,3267,Under Construction,Razapur Khurd,Delhi
2 BHK,Apartment,0.29,500,5800,Ready to move,Uttam Nagar,Delhi
2 BHK,Independent House,0.19,405,4691,Ready to move,Dwarka Mor,Delhi
4 BHK,Floor,5.5,3600,15277,Ready to move,Sector 23 Rohini,Delhi
3 BHK,Floor,0.55,1125,4888,Ready to move,Chattarpur,Delhi
3 BHK,Floor,0.63,1350,4666,Ready to move,Shahdara,Delhi
3 BHK,Floor,0.35,990,3535,Ready to move,Dwarka Mor,Delhi
1 BHK,Apartment,0.558,442,12624,Ready to move,Sector 14 Dwarka,Delhi
5 BHK,Floor,2.1,2500,8400,Ready to move,Tilak Nagar,Delhi
4 BHK,Floor,2.39,2000,11950,Ready to move,Tilak Nagar,Delhi
1 BHK,Apartment,0.321,500,6416,Ready to move,Johripur,Delhi
2 BHK,Floor,0.85,750,11333,Ready to move,Janakpuri,Delhi
3 BHK,Floor,0.75,1100,6818,Under Construction,Sector 1 Dwarka,Delhi
2 BHK,Floor,0.35,550,6363,Ready to move,Mahavir Enclave,Delhi
2 BHK,Floor,0.42,720,5833,Ready to move,Dwarka Mor,Delhi
4 BHK,Floor,3.35,2600,12884,Ready to move,Saket,Delhi
2 BHK,Apartment,1.1,1100,10000,Ready to move,Subhash Nagar,Delhi
2 BHK,Floor,0.25,642,3894,Under Construction,Hastsal,Delhi
2 BHK,Floor,0.48,684,7017,Under Construction,Sarai Rohilla,Delhi
3 BHK,Apartment,0.65,1152,5642,Under Construction,Chattarpur,Delhi
4 BHK,Floor,6.15,3150,19523,Ready to move,Chittaranjan Park,Delhi
2 BHK,Floor,0.32,750,4266,Under Construction,Chattarpur,Delhi
3 BHK,Apartment,2.05,1500,13666,Ready to move,Lajpat Nagar III,Delhi
5 BHK,Independent House,0.9,1650,5454,Ready to move,Tri Nagar,Delhi
1 BHK,Apartment,0.57,500,11400,Ready to move,Vasant Kunj,Delhi
2 BHK,Apartment,0.4,650,6153,Ready to move,Kalkaji,Delhi
2 BHK,Floor,0.9,720,12500,Ready to move,Sector 19 Dwarka,Delhi
2 BHK,Floor,0.46,810,5679,Ready to move,Tilak Nagar,Delhi
2 BHK,Apartment,0.215,540,3981,Ready to move,Nawada,Delhi
2 BHK,Floor,0.25,650,3846,Ready to move,Dwarka Mor,Delhi
4 BHK,Floor,2.5,1800,13888,Ready to move,Malviya Nagar,Delhi
3 BHK,Apartment,0.5,1100,4545,Ready to move,Chattarpur,Delhi
2 BHK,Apartment,1.25,930,13440,Ready to move,Sector 13 Rohini,Delhi
3 BHK,Apartment,2.8,1800,15555,Ready to move,Sector 2 Dwarka,Delhi
2 BHK,Floor,0.32,585,5470,Ready to move,Dwarka Mor,Delhi
3 BHK,Apartment,1.8,1200,15000,Ready to move,Sector 13 Rohini,Delhi
2 BHK,Apartment,0.23,625,3680,Ready to move,Tara Nagar,Delhi
2 BHK,Apartment,2.0,986,20283,Ready to move,Sector 13 Rohini,Delhi
1 BHK,Apartment,0.185,500,3700,Ready to move,Jamia Nagar,Delhi
3 BHK,Floor,0.65,1200,5416,Ready to move,Badarpur,Delhi
4 BHK,Floor,0.58,1100,5272,Ready to move,Dwarka Mor,Delhi
3 BHK,Floor,0.44,1000,4400,Ready to move,Dwarka Mor,Delhi
1 BHK,Floor,0.25,500,5000,Ready to move,Sector 1 Rohini,Delhi
3 BHK,Floor,6.0,1900,31578,Ready to move,Anand Niketan,Delhi
1 BHK,Floor,0.18,360,5000,Ready to move,Dwarka Mor,Delhi
3 BHK,Apartment,1.3,1450,8965,Ready to move,Paschim Vihar,Delhi
2 BHK,Floor,1.11,960,11562,Ready to move,Subhash Nagar,Delhi
2 BHK,Floor,0.9,840,10714,Ready to move,vikaspuri,Delhi
3 BHK,Floor,3.5,1800,19444,Ready to move,Lajpat Nagar,Delhi
3 BHK,Apartment,0.62,1535,4039,Ready to move,Bijwasan,Delhi
3 BHK,Floor,0.48,1150,4173,Under Construction,Chattarpur,Delhi
2 BHK,Floor,0.32,800,4000,Ready to move,Khirki Extension,Delhi
3 BHK,Apartment,1.8,1150,15652,Ready to move,Sector 13 Rohini,Delhi
3 BHK,Floor,0.8,1100,7272,Under Construction,Ganesh Nagar,Delhi
2 BHK,Apartment,0.23,675,3407,Ready to move,Mundka,Delhi
3 BHK,Floor,1.0,1350,7407,Ready to move,Sagar Pur,Delhi
3 BHK,Independent House,0.357,631,5665,Ready to move,Saboli,Delhi
2 BHK,Apartment,0.8,1100,7272,Ready to move,Dilshad Colony,Delhi
2 BHK,Apartment,0.265,585,4529,Ready to move,Badarpur,Delhi
2 BHK,Apartment,0.38,1000,3800,Ready to move,Burari,Delhi
4 BHK,Floor,5.5,2700,20370,Ready to move,Greater kailash 1,Delhi
1 RK ,Apartment,0.26,350,7428,Ready to move,Karampura,Delhi
5 BHK,Apartment,0.62,2000,3100,Ready to move,Hastsal,Delhi
1 BHK,Apartment,0.18,450,4000,Ready to move,Chirag Dilli,Delhi
2 BHK,Floor,0.43,800,5375,Ready to move,Bindapur,Delhi
7 BHK,Independent House,7.5,2900,25862,Ready to move,Sector 3 Rohini,Delhi
3 BHK,Floor,1.25,1200,10416,Ready to move,Krishna Nagar,Delhi
3 BHK,Floor,1.55,1250,12400,Ready to move,vikaspuri,Delhi
2 BHK,Floor,0.28,522,5363,Ready to move,Uttam Nagar,Delhi
4 BHK,Apartment,2.75,2700,10185,Ready to move,Model Town,Delhi
1 BHK,Floor,0.15,400,3750,Ready to move,Mehrauli,Delhi
1 BHK,Floor,0.15,400,3750,Ready to move,Mehrauli,Delhi
2 BHK,Apartment,0.9,900,10000,Ready to move,Sector 23 Rohini,Delhi
5 BHK,Floor,1.5,2750,5454,Ready to move,Shahdara,Delhi
4 BHK,Floor,0.65,1200,5416,Ready to move,Chattarpur,Delhi
2 BHK,Floor,0.525,700,7500,Ready to move,Sector 21 Rohini,Delhi
3 BHK,Apartment,1.8,1650,10909,Ready to move,Sector 13 Rohini,Delhi
2 BHK,Floor,0.55,900,6111,Ready to move,Krishna Nagar,Delhi
2 BHK,Apartment,0.26,650,4000,Ready to move,Uttam Nagar,Delhi
3 BHK,Floor,0.6,900,6666,Ready to move,Uttam Nagar,Delhi
5 BHK,Apartment,2.5,2500,10000,Ready to move,Rangpuri,Delhi
3 BHK,Floor,0.44,1000,4400,Ready to move,Uttam Nagar,Delhi
1 BHK,Floor,0.41,500,8200,Ready to move,Rohini sector 24,Delhi
3 BHK,Apartment,1.5,1050,14285,Under Construction,Sector 15 Rohini,Delhi
3 BHK,Apartment,1.5,1200,12500,Ready to move,Sector 25 Rohini,Delhi
3 BHK,Floor,3.1,1700,18235,Ready to move,Pitampura,Delhi
3 BHK,Floor,1.4,1250,11200,Ready to move,vikaspuri,Delhi
2 BHK,Floor,0.835,1000,8350,Ready to move,vikaspuri,Delhi
3 BHK,Floor,1.45,1250,11600,Ready to move,vikaspuri,Delhi
4 BHK,Independent House,0.52,2500,2080,Ready to move,Uttam Nagar,Delhi
9 BHK,Independent House,1.49,5400,2759,Ready to move,Uttam Nagar,Delhi
9 BHK,Independent House,1.49,5400,2759,Ready to move,Uttam Nagar,Delhi
9 BHK,Independent House,1.49,5400,2759,Ready to move,Uttam Nagar,Delhi
5 BHK,Independent House,1.38,5400,2555,Ready to move,Uttam Nagar,Delhi
9 BHK,Independent House,1.49,5400,2759,Ready to move,Uttam Nagar,Delhi
9 BHK,Independent House,1.49,5400,2759,Ready to move,Uttam Nagar,Delhi
9 BHK,Independent House,1.49,5400,2759,Ready to move,Uttam Nagar,Delhi
9 BHK,Independent House,1.49,5400,2759,Ready to move,Uttam Nagar,Delhi
9 BHK,Independent House,1.49,5400,2759,Ready to move,Uttam Nagar,Delhi
2 BHK,Floor,0.25,520,4807,Ready to move,Dwarka Mor,Delhi
2 BHK,Floor,0.25,520,4807,Ready to move,Dwarka Mor,Delhi
2 BHK,Floor,0.25,520,4807,Ready to move,Dwarka Mor,Delhi
2 BHK,Floor,0.25,520,4807,Ready to move,Dwarka Mor,Delhi
2 BHK,Floor,0.25,520,4807,Ready to move,Dwarka Mor,Delhi
2 BHK,Floor,0.25,520,4807,Ready to move,Dwarka Mor,Delhi
3 BHK,Apartment,3.0,2100,14285,Ready to move,Sukhdev Vihar,Delhi
7 BHK,Independent House,0.55,2500,2200,Ready to move,Sangam Vihar,Delhi
7 BHK,Independent House,0.55,2500,2200,Ready to move,Sangam Vihar,Delhi
7 BHK,Independent House,0.55,2500,2200,Ready to move,Sangam Vihar,Delhi
3 BHK,Floor,1.4,1250,11200,Ready to move,vikaspuri,Delhi
3 BHK,Floor,1.4,1250,11200,Ready to move,vikaspuri,Delhi
3 BHK,Floor,1.4,1250,11200,Ready to move,vikaspuri,Delhi
3 BHK,Floor,1.4,1250,11200,Ready to move,vikaspuri,Delhi
3 BHK,Floor,1.4,1250,11200,Ready to move,vikaspuri,Delhi
3 BHK,Floor,1.4,1250,11200,Ready to move,vikaspuri,Delhi
3 BHK,Floor,1.4,1250,11200,Ready to move,vikaspuri,Delhi
3 BHK,Floor,1.4,1250,11200,Ready to move,vikaspuri,Delhi
3 BHK,Floor,1.4,1250,11200,Ready to move,vikaspuri,Delhi
3 BHK,Floor,1.4,1250,11200,Ready to move,vikaspuri,Delhi
